id,firstname,lastname,birthday,gender,family_situation,professional_situation,registration_number
1,Serge,Dupont,1980-03-05,M,CELIBATAIRE,EMPLOYE,001-000-000-001
2,Alice,Gremin,1982-02-04,F,CELIBATAIRE,EMPLOYE,001-000-000-002
3,Beatrice,Leclerc,1984-03-06,F,MARIE,CHOMEUR,001-000-000-003
4,Romain,Deville,1983-05-01,M,MARIE,INDEPENDANT,001-000-000-004
5,Martin,Folio,1984-06-08,M,CELIBATAIRE,CHOMEUR,001-000-000-005
6,Luc,Derome,1988-10-05,M,CELIBATAIRE,EMPLOYE,001-000-000-006
7,Anastasia,Gomese,1983-09-13,F,CELIBATAIRE,EMPLOYE,001-000-000-007
8,Sophie,Pau,1986-10-07,F,DIVORCE,EMPLOYE,001-000-000-008
9,Fabrice,Krem,1986-08-02,M,MARIE,EMPLOYE,001-000-000-009
10,Christelle,Alim,1981-09-05,M,MARIE,INDEPENDANT,001-000-000-010
11,Virginie,Crouzze,1985-04-04,F,CELIBATAIRE,EMPLOYE,001-000-000-011
12,Thoma,LAIZE,1986-08-07,M,MARIE,INDEPENDANT,001-000-000-012
13,Martine,TOMAZO,1984-04-15,F,CELIBATAIRE,EMPLOYE,001-000-000-013
14,Roger,Mills,1983-11-13,F,MARIE,CHOMEUR,001-000-000-014
15,Greg,Lillois,1987-12-01,M,MARIE,INDEPENDANT,001-000-000-0015
16,Jean,Fruid,1984-07-22,M,CELIBATAIRE,EMPLOYE,001-000-000-016
17,Bella,Orphee,1986-11-16,F,MARIE,EMPLOYE,001-000-000-017
18,Saul,Moulin,1985-06-18,M,DIVORCE,EMPLOYE,001-000-000-018
